BarName,Area,beerRating,cocktailsRating,foodRating,decorRating,parkingRating,proximityRating,noiseRating,patioRating,groupsRating,serviceRating,priceRating,Address,PhoneNumber,YelpWebsite,Website
Honeymoon,Down,3,5,4,2,2,5,4,0,3,4,3,"300 Main St, Houston, TX 77002",(281) 846-6995,http://www.yelp.com/biz/the-honeymoon-cafe-and-bar-houston,http://thehoneymoonhtx.com/
Henke & Pillot,Down,4,4,4,4,2,4,3,1,4,4,3,"809 Congress Ave, Houston, TX 77002",(713) 222-0003,http://www.yelp.com/biz/henke-and-pillot-houston,http://henkeandpillot.com/
Foxhearts,Down,3,5,0,3,2,5,2,4,2,4,2,"308 Main St, Houston, TX 77002",(718) 387-6962,http://www.yelp.com/biz/captain-foxhearts-bad-news-bar-and-spirit-lodge-houston,https://www.facebook.com/BadNewsBar/
Moving Sidewalk,Down,3,5,0,2,2,5,2,1,1,4,3,"306 Main St, Houston, TX 77002",Not Available,http://www.yelp.com/biz/moving-sidewalk-houston-2,http://www.movingsidewalkbar.com/
Prohibition,Down,3,5,3,4,2,3,3,1,3,3,2,"1008 Prairie St, Houston, TX 77002",(281) 940-4636,http://www.yelp.com/biz/prohibition-supperclub-and-bar-houston,http://www.prohibitionhouston.com/
Warren's,Down,3,3,0,2,2,4,3,0,3,4,4,"307 Travis St, Houston, TX 77002",(713) 247-9207,http://www.yelp.com/biz/warrens-inn-houston,http://warrensinn.biz/
La Carafe,Down,3,2,0,2,2,4,3,4,2,3,4,"813 Congress Ave, Houston, TX 77002",(713) 229-9399,http://www.yelp.com/biz/la-carafe-houston,http://www.owlnet.rice.edu/~hans320/projects/lacarafe/building.html
Pastry War,Down,3,4,3,4,2,5,2,0,2,2,2,"310 Main St, Houston, TX 77002",Not Available,http://www.yelp.com/biz/the-pastry-war-houston,http://www.thepastrywar.com/
Okra,Down,3,3,0,3,2,5,2,1,3,2,3,"924 Congress Ave, Houston, TX 77002",(713) 237-8828,http://www.yelp.com/biz/the-original-okra-charity-saloon-houston,http://friedokra.org/
Neils Bahr,Edo,3,4,0,4,2,3,2,2,2,4,4,"2006 Walker St, Houston, TX 77003",(281) 352-7456,http://www.yelp.com/biz/neils-bahr-houston,http://neilsbahr.com/
Voodoo Queen,Edo,3,4,0,3,4,1,3,1,2,3,4,"322 Milby St, Houston, TX 77003",Not Available,http://www.yelp.com/biz/voodoo-queen-houston,https://www.facebook.com/pages/Voodoo-Queen/565805626788394
Moontower,Edo,4,0,4,3,3,1,4,4,4,3,3,"3004 Canal St, Houston, TX 77003",(832) 969-1934,http://www.yelp.com/biz/moon-tower-inn-houston,http://damngoodfoodcoldassbeer.com/
Cottonwood,Heights,4,3,4,3,4,2,4,4,4,3,3,"3422 N Shepherd Dr, Houston, TX 77018",(713) 802-0410,http://www.yelp.com/biz/cottonwood-houston-2,http://www.cottonwoodhouston.com/
13 Heights Bar,Heights,3,2,0,3,5,1,4,3,3,4,4,"1537 N Shepherd Dr, Houston, TX 77008",Not Available,http://www.yelp.com/biz/13-heights-bar-houston,https://www.facebook.com/13-The-Heights-Bar-398052166880221/
Public House,Heights,4,3,4,3,3,4,3,3,3,4,3,"2802 White Oak Dr, Houston, TX 77007",(713) 880-2337,http://www.yelp.com/biz/public-house-heights-houston,http://publichouseheights.com/
Lei Low,Heights,3,4,0,3,3,2,3,3,3,4,3,"6412 N Main St, Houston, TX 77009",(713) 380-2968,http://www.yelp.com/biz/lei-low-houston,http://leilowhtx.com/
Shepherd Park,Heights,3,2,3,2,4,2,4,2,2,3,4,"3402 N Shepherd Dr, Houston, TX 77018",(832) 767-1380,http://www.yelp.com/biz/shepherd-park-draught-house-houston,http://www.shepherdparktx.com/
Down House,Heights,3,4,4,4,3,1,3,3,3,3,2,"1801 Yale St, Houston, TX 77008",(713) 864-3696,http://www.yelp.com/biz/down-house-houston,http://treadsack.com/downhouse/
Johnny's Gold Brick,Heights,3,4,0,3,2,2,2,3,3,3,3,"2518 Yale St, Houston, TX 77008",(713) 864-2424,http://www.yelp.com/biz/johnnys-gold-brick-houston-2,http://treadsack.com/johnnys/
Wakefield Crowbar,Heights,3,2,2,2,2,2,3,3,3,1,3,"954 Wakefield Dr, Houston, TX 77018",(713) 686-8388,http://www.yelp.com/biz/wakefield-crowbar-houston,http://www.wakefieldcrowbar.com/
Petrol Station,Heights,4,0,3,2,2,2,3,4,3,3,3,"985 Wakefield Dr, Houston, TX 77018",(713) 957-2875,http://www.yelp.com/biz/petrol-station-houston,https://twitter.com/Petrol_Station
Woosters Garden,Mid,4,5,3,4,4,3,3,4,4,3,4,"3315 Milam St, Houston, TX 77006",(713) 520-0015,http://www.yelp.com/biz/woosters-garden-houston,http://woostersgarden.com/
Weights+Measures,Mid,4,4,4,4,4,2,3,2,3,4,3,"2808 Caroline St, Houston, TX 77004",(713) 654-1970,http://www.yelp.com/biz/weights-measures-houston-2,http://weights-measures.com/
Spare Key,Mid,3,4,0,4,1,4,4,2,3,4,3,"2416 Brazos St, Houston, TX 77006",(832) 701-1973,http://www.yelp.com/biz/spare-key-houston,http://cookandcollins.com/sparekey/
