BarName,Area,beerRating,cocktailsRating,foodRating,decorRating,parkingRating,proximityRating,noiseRating,patioRating,groupsRating,serviceRating,priceRating,Address,PhoneNumber,YelpWebsite,Website,Description,Image
13 Heights Bar,Heights,2,1,3,2,5,1,4,3,4,4,4,"1537 N Shepherd Dr, Houston, TX 77008",(713) 426-1313,http://www.yelp.com/biz/13-heights-bar-houston,https://www.facebook.com/13-The-Heights-Bar-398052166880221/,Laid back heights bar featuring a cozy patio and large indoor space to relax with friends over a drink,http://ww1.hdnux.com/photos/23/01/56/4987824/9/920x920.jpg
3rd Floor,Midtown,5,3,3,4,1,4,2,5,3,2,3,"2303 Smith St #300, Houston, TX 77006",(832) 384-1960,http://www.yelp.com/biz/3rd-floor-houston,http://3rdfloorhouston.com/,"Airy, light-filled urban-chic loft bar featuring extensive drink selection with city views",https://cdn2.vox-cdn.com/thumbor/dkCNvwAngoNkmQ5lpqgdaj5w_No=/0x26:500x307/1310x737/cdn0.vox-cdn.com/uploads/chorus_image/image/38852820/3rd_20floor_20interior.0.jpg
8th Wonder Brewery,Downtown,4,0,2,2,4,1,4,2,4,3,5,"2202 Dallas St, Houston, TX 77003",(713) 229-0868,http://www.yelp.com/biz/8th-wonder-brewery-houston,http://8thwonderbrew.com/,Downtown brewery with rotating taps to be enjoyed while soaking in views of downtown Houston,https://brewstravelers365.files.wordpress.com/2014/01/dsc01040.jpg
Absinthe Lounge,Midtown,2,3,3,3,3,1,4,1,2,2,2,"609 Richmond Ave, Houston, TX 77006",(713) 528-7575,http://www.yelp.com/biz/absinthe-brasserie-houston,http://www.absinthelounge.com/,"Bar & lounge with a romantic, bohemian feel & low lighting, plus a small menu of bar bites",http://images1.houstonpress.com/imager/u/original/7422587/5429350.0.jpg
Alley Kat,Midtown,2,3,0,2,3,3,2,2,2,3,3,"3718 Main St, Houston, TX 77002",(713) 874-0722,http://www.yelp.com/biz/the-alley-kat-bar-and-lounge-houston,https://www.facebook.com/TheAlleyKatHouston/?rf=308772765889756,"Hip bar & lounge offering frequent live music & DJs, plus activities such as karaoke nights",http://s3-media2.fl.yelpcdn.com/bphoto/4DRJtLGJ95ea4dkov2lXFQ/o.jpg
Anvil,Montrose,3,5,3,3,1,4,2,1,1,3,1,"1424 Westheimer Rd, Houston, TX 77006",(713) 523-1622,http://www.yelp.com/biz/anvil-bar-and-refuge-houston,http://www.anvilhouston.com/,Housemade bitters make for unique cocktails at this industrial-chic spot also serving small plates,http://7c427fa958a190ba89d7-e151928c3d69a5a4a2d07a8bf3efa90a.r74.cf2.rackcdn.com/662704-1.jpg
Axelrad Beer Garden,Midtown,5,0,4,4,5,1,3,5,3,4,4,"1517 Alabama St, Houston, TX 77004",(713) 597-8800,http://www.yelp.com/biz/axelrad-houston,http://www.axelradbeergarden.com/#home,Craft-beer joint in a historic space with an expansive patio & grub available for delivery,http://ww3.hdnux.com/photos/42/53/56/9091970/4/920x920.jpg
Barbarella,Midtown,2,1,0,2,2,2,1,2,4,1,3,"2404 San Jacinto St, Houston, TX 77002",Not Available,http://www.yelp.com/biz/barbarella-houston-houston,https://www.facebook.com/BarbarellaHTX/,Hipster bar in Midtown featuring epic 80s and 90s dance parties amid a smoky dimly lit bar,https://pbs.twimg.com/media/BjY8KpiCcAAGTIH.jpg
Barringer,Downtown,2,4,0,2,2,4,2,0,3,3,1,"108 Main St, Houston, TX 77002",(832) 786-1836,http://www.yelp.com/biz/barringer-bar-and-lounge-houston-2,http://barringerhouston.com/,"Expansive speakeasy-style bar, with wood accents & a chandelier, weekend live music & aerialists",http://barringerhouston.com/wp-content/uploads/2015/09/barringer-houston-inside.jpg
Bar Munich,Midtown,3,2,3,2,2,3,2,3,3,3,3,"2616 Louisiana St, Houston, TX 77006",(713) 523-1008,http://www.yelp.com/biz/bar-munich-houston,http://www.barmunich.com/,"Roomy bar with a big selection of imported German beers by the pint, bottle or boot-shaped glass",http://www.altacitywest.com/wp-content/uploads/2014/06/world-cup-2014-houston-tx.jpg
